Product Name,Product Price,Product Sold,Product Location,Name Store,Product Official Store,Product Rating,Product Link
Paket Skincare Eksfoliasi-Avoskin Miraculous Refining Series,Rp356.000,4rb+ terjual,Kab. Sleman,Avoskin,True,No Rating,https://www.tokopedia.com/avoskinofficial/paket-skincare-eksfoliasi-avoskin-miraculous-refining-series?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
La Roche Posay Mela B3 Niacinamide Serum 30ml - Mencerahkan Noda Hitam,Rp766.300,2rb+ terjual,Tangerang,La Roche Posay,True,No Rating,https://www.tokopedia.com/larocheposayofficial/la-roche-posay-mela-b3-niacinamide-serum-30ml-mencerahkan-noda-hitam?extParam=ivf%3Dtrue%26keyword%3Dskincare&src=topads
SKIN1004 Madagascar Centella Asiatica Ampoule,Rp85.000,100+ terjual,Tangerang,Beauty Dazzle,False,No Rating,https://www.tokopedia.com/beautydazzle/skin1004-madagascar-centella-asiatica-ampoule-30-ml-d3ec3?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
SPECIAL PROMO - 1 PAKET SKINCARE ARTHA LDT+ (FOR ALL SKIN) FREE POUCH,Rp100.000,3 terjual,Kab. Situbondo,arthaldtoffice,False,No Rating,https://www.tokopedia.com/arthaldtoffice/special-promo-1-paket-skincare-artha-ldt-for-all-skin-free-pouch?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
10 PAKET RESELLER SKINCARE FOR ALL SKIN ARTHA LDT+ FREE POUCH,Rp1.250.000,0,Kab. Situbondo,arthaldtoffice,False,No Rating,https://www.tokopedia.com/arthaldtoffice/10-paket-reseller-skincare-for-all-skin-artha-ldt-free-pouch?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
Leika Skincare Serum AHA BHA Resmi BPOM Serum Khusus Milia & Bruntusan,Rp85.000,4.9500+ terjual,Cirebon,Leika Skincare,True,4.9,https://www.tokopedia.com/leikaskincare/leika-skincare-serum-aha-bha-resmi-bpom-serum-khusus-milia-bruntusan-beli-1-pcs-2f0ec?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
PIGEON TEENS Paket Lengkap Isi 8 Skincare Remaja Mencerahkan Kulit Kusam I Bright Heroes Series,Rp96.900,4.8750+ terjual,Bogor,NT199,False,4.8,https://www.tokopedia.com/nt199/pigeon-teens-paket-lengkap-isi-8-skincare-remaja-mencerahkan-kulit-kusam-i-bright-heroes-series-basic-62055?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
"[SPECIAL LUNACOSMETICSIND] Whitelab 5pcs Brightening Paket Wajah - Facial Wash, Toner, Serum, with Day & Night Cream Paket Skincare Perawatan Mencerahkan",Rp248.500,4.910rb+ terjual,Jakarta Utara,Whitelab_id_NEW,True,4.9,https://www.tokopedia.com/whitelab/whitelab-5pcs-brightening-paket-wajah-isi-5pcs-n10-day-night?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
SOMETHINC Calm Down Series - Skincare Kulit Ngamuk dan Sensitif,Rp62.000,5.02rb+ terjual,Tangerang,SOMETHINC Official,True,5.0,https://www.tokopedia.com/somethinc/somethinc-calm-down-series-skincare-kulit-ngamuk-dan-sensitif-toner-40ml?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Haruka Paket Skincare Untuk Flek Hitam Ampuh - Aman BPOM - No Mercury,Rp435.000,4.9250+ terjual,Malang,Haruka Skincare,True,4.9,https://www.tokopedia.com/haruka/haruka-paket-skincare-untuk-flek-hitam-ampuh-aman-bpom-no-mercury?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
